title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,m_totalImages,ber_rating,longitude,latitude
"Lansdowne Place, Ballsbridge, Dublin 4",premium,1/28/2022,925000,2,2,Apartment,106,New Homes,26,D2,-6.702842,53.744002
"Lansdowne Place, Ballsbridge, Dublin 4",premium,1/28/2022,1750000,3,3,Duplex,186,New Homes,29,B1,-7.167222,52.150475
"Lansdowne Place, Ballsbridge, Dublin 4",premium,1/28/2022,2150000,3,3,Apartment,,New Homes,53,SI_666,-10.173818,51.836175
"34 Niall Street, Stoneybatter, Dublin 7",standard,1/30/2022,365000,2,1,Terrace,,Buy,25,F,-8.002865,53.958017
"7 Railway Road, Dalkey, Co. Dublin",standard,1/29/2022,495000,2,2,Townhouse,69,Buy,18,E1,-6.131693,53.268943
"27 Earlsfort Meadows, Lucan, Co. Dublin",standard,1/30/2022,340000,3,3,Semi-D,90,Buy,22,B2,-6.464003,53.337551
"Apt 5, Waterside Avenue, Malahide, Co. Dublin",standard,1/29/2022,269000,2,1,Apartment,53,Buy,10,C1,-6.300908,53.335901
"14 Ballyowen Square, Lucan, Co. Dublin",standard,1/29/2022,325000,3,3,Terrace,90,Buy,11,C3,-6.246618,53.311014
"2 Castlelyon Avenue, Newcastle, Co. Dublin",standard,1/29/2022,359000,3,3,Terrace,107,Buy,12,C2,-6.776123,53.151962
"103 The Academy Building, Park West, Dublin 12",standard,1/29/2022,195000,2,2,Apartment,65,Buy,28,D2,-6.320728,53.280745
"Apt 52, Geraldstown Woods, Santry, Dublin 9",standard,1/29/2022,210000,2,2,Apartment,61,Buy,13,C2,-6.340344,52.247173
"171 Killinarden Estate, Tallaght, Dublin 24",standard,1/29/2022,250000,3,1,Terrace,85,Buy,10,E1,-8.660265,52.099086
"Apt 15, 14 Granby Hall, Granby Row, Dublin 1",standard,1/30/2022,300000,2,1,Apartment,,Buy,20,C1,-7.342265,52.922857
"Apt 69, Geraldstown Woods, Santry, Dublin 9",standard,1/29/2022,210000,2,2,Apartment,61,Buy,10,D1,-9.028473,51.580673
"89 Wainsfort Manor Crescent, Terenure, Dublin 6",standard,1/30/2022,585000,3,3,Semi-D,96,Buy,11,D2,-6.35655,53.287778
"88 Clearwater Cove, Co. Dublin A96, Dun Laoghaire, Co. Dublin",standard,1/30/2022,439950,2,1,Apartment,67,Buy,24,B2,-6.29925,53.404359
"33 Auburn Road, Glenageary, Co. Dublin",standard,1/30/2022,675000,3,2,Semi-D,139,Buy,32,E1,-6.719045,52.280247
"5 Coolamber Park, Knocklyon, Dublin 16",standard,1/29/2022,650000,4,3,Semi-D,156,Buy,17,B3,-6.747167,54.111724
"22 Castleknock Drive, Castleknock, Dublin 15",standard,1/30/2022,525000,4,2,Semi-D,122,Buy,18,C3,-9.18378,53.336834
"17 Cloonlara Square, Phoenix Park Racecourse, Castleknock, Dublin 15",standard,1/30/2022,395000,2,2,Apartment,77,Buy,33,C3,-9.857083,52.280652
"7 Mount Symon Lawn, Clonsilla, Dublin 15",standard,1/30/2022,410000,4,3,Semi-D,113,Buy,17,E1,-6.178837,53.604991
"2 Ardee Court, Ardee Road, Rathmines, Dublin 6",standard,1/30/2022,375000,3,1,Apartment,72,Buy,11,C1,-6.4250326,53.3988266
"104 The Cubes 4, Beacon South Quarter, Sandyford, Dublin 18",standard,1/30/2022,375000,2,2,Apartment,85,Buy,1,XXX,-6.965172,53.110763
"27 Heathfield Crescent, Cappagh Road, Finglas, Dublin 11",standard,1/30/2022,295000,3,2,End of Terrace,94,Buy,32,C1,-6.553187,53.350402
"139 Cianlea, Swords, Co. Dublin",standard,1/30/2022,335000,3,1,Semi-D,86,Buy,17,XXX,-6.4273127,53.3415141
"5 River Lane, Saint Colmcille's Court, Swords, Co. Dublin",standard,1/28/2022,290000,2,1,End of Terrace,56,Buy,17,C2,-6.197355,53.611485
"Apartment 10, Clearwater, Malahide, Co. Dublin",standard,1/28/2022,1050000,2,2,Apartment,100,Buy,19,C3,-6.176023,53.526807
"94 Monalea Grove, Firhouse, Dublin 24",standard,1/30/2022,420000,3,1,Semi-D,96,Buy,19,D1,-7.139441,52.252655
"12 Taylor Hill Green, Balbriggan, Co. Dublin",standard,1/30/2022,425000,4,3,Detached,153,Buy,30,F,-6.238129,53.391141
